SeqNum,UtcDate,UtcTime,AcqTime,PDOP,Long,Lat,Alt.m.,TotCount.cps.,Potassium...,Uranium.ppm.,Thorium.ppm.,UpDet.cps.,X.meters.,X.meters..1,xy
72292,19/3/2024,1:01:02,999994,2.102,149.8856713,-30.26504,295.3413,1696.53876,3.71617,5.04722,-1.43201,8.00726,295.364,100,TRUE
72293,19/3/2024,1:01:03,999993,2.102,149.885682,-30.2650134,295.3313,1693.53773,4.20601,1.88523,20.35482,8.00727,295.354,100,TRUE
72294,19/3/2024,1:01:04,999994,2.102,149.8856943,-30.2649886,295.226,1644.16242,3.20693,0.13361,15.17689,5.00354,295.249,100,TRUE
72295,19/3/2024,1:01:05,999993,2.102,149.8857067,-30.2649637,295.1082,1612.30274,4.33384,1.7713699999999999,9.64175,6.00485,295.131,100,TRUE
72296,19/3/2024,1:01:06,999994,2.102,149.8857176,-30.2649387,295.0658,1711.55238,4.84264,-2.03083,24.34905,4.00363,295.089,100,TRUE
72297,19/3/2024,1:01:07,999993,2.102,149.8857291,-30.2649124,295.0629,1597.13077,4.73767,-0.39328,18.80732,5.00354,295.086,100,TRUE
72298,19/3/2024,1:01:08,999993,2.102,149.8857402,-30.2648894,294.6765,1662.17682,2.61204,4.83923,5.73784,9.00638,294.699,100,TRUE
72299,19/3/2024,1:01:09,999994,2.10199,149.8857493,-30.2648703,294.7212,1709.55056,3.6271,-0.18634,11.64008,4.00363,294.744,100,TRUE
72300,19/3/2024,1:01:10,999993,2.10199,149.8857575,-30.2648511,294.7114,1675.85133,3.48117,5.21485,14.62891,11.00559,294.734,100,TRUE
72301,19/3/2024,1:01:11,999993,2.10199,149.8857675,-30.2648336,294.5384,1626.47684,3.66871,3.57976,20.17327,10.00909,294.561,100,TRUE
72302,19/3/2024,1:01:12,999994,2.10199,149.8857767,-30.2648138,294.3489,1674.3512,3.87742,1.88489,20.35251,8.00646,294.372,100,TRUE
72303,19/3/2024,1:01:13,999993,2.10199,149.8857852,-30.2647915,294.667,1674.84915,3.94429,0.13329,15.17335,5.00254,294.69,100,TRUE
72304,19/3/2024,1:01:14,999994,2.10198,149.8857935,-30.2647722,294.7511,1597.81009,3.09544,8.22566,5.37321,13.00659,294.774,100,TRUE
72305,19/3/2024,1:01:15,999993,2.10198,149.8858014,-30.2647511,294.9114,1685.36177,3.54004,2.20513,23.89254,9.00728,294.934,100,TRUE
72306,19/3/2024,1:01:16,999994,2.10198,149.8858097,-30.2647299,295.7301,1679.68363,3.38835,0.97997,15.08085,6.00244,295.753,100,TRUE
72307,19/3/2024,1:01:17,999993,2.10197,149.8858188,-30.2647076,295.8888,1626.66368,3.18737,-0.71371,15.26233,4.00163,295.912,100,TRUE
72308,19/3/2024,1:01:18,999993,2.10197,149.8858298,-30.2646848,295.7167,1670.34964,4.31071,1.82813,14.99714,7.00566,295.74,100,TRUE
72309,19/3/2024,1:01:19,999994,2.10196,149.8858407,-30.2646623,295.3562,1723.39078,3.92829,2.35507,11.36635,7.00565,295.379,100,TRUE
72310,19/3/2024,1:01:20,999993,2.10196,149.8858525,-30.2646394,295.0726,1722.56409,3.30698,-2.0876,18.99315,3.00273,295.095,100,TRUE
72311,19/3/2024,1:01:21,999993,2.10195,149.8858628,-30.2646195,294.9292,1653.50138,3.6641,1.5082,11.45853,6.00545,294.952,100,TRUE
72312,19/3/2024,1:01:22,999994,2.10195,149.8858739,-30.2646057,294.9717,1630.99001,2.06757,1.30063,18.62366,7.00425,294.995,100,TRUE
72313,19/3/2024,1:01:23,999993,2.10194,149.8858778,-30.2645963,294.9491,1636.83151,2.99717,1.82714,14.99188,7.00356,294.972,100,TRUE
72314,19/3/2024,1:01:24,999994,2.10194,149.8858769,-30.2645853,295.0274,1667.51193,3.58431,2.08982,13.17388,7.00215,295.05,100,TRUE
72315,19/3/2024,1:01:25,999993,2.10193,149.8858798,-30.2645775,294.7862,1656.17257,3.08791,-0.07308,22.34697,6.00425,294.809,100,TRUE
72316,19/3/2024,1:01:26,999993,2.10192,149.8858831,-30.2645684,294.4526,1742.58226,2.98464,1.56496,16.81446,7.00636,294.475,100,TRUE
72317,19/3/2024,1:01:27,999993,2.10192,149.8858856,-30.2645597,294.2289,1703.6951100000001,3.74409,1.50671,11.45154,6.00245,294.252,100,TRUE
72318,19/3/2024,1:01:28,999994,2.10191,149.8858888,-30.264549,294.3687,1684.68567,3.32021,1.24334,13.26619,6.00244,294.392,100,TRUE
72319,19/3/2024,1:01:29,999993,2.1019,149.8858977,-30.2645377,294.7123,1599.97278,4.21732,-2.40758,15.44739,2.00122,294.735,100,TRUE
72320,19/3/2024,1:01:30,999994,2.10189,149.8859031,-30.2645263,295.2907,1706.88953,4.32017,-1.56062,15.36557,3.00332,295.314,100,TRUE
72321,19/3/2024,1:01:31,999993,2.10188,149.8859093,-30.2645135,295.4521,1718.38846,4.34189,-1.61735,10.00482,2.00162,295.475,100,TRUE
72322,19/3/2024,1:01:32,999993,2.10188,149.8859136,-30.2644983,295.5993,1685.68776,3.38253,-1.18371,24.2449,5.00204,295.622,100,TRUE
72323,19/3/2024,1:01:33,999993,2.10187,149.8859204,-30.2644816,295.8069,1688.3642,3.06291,4.04944,11.18483,9.00728,295.83,100,TRUE
72324,19/3/2024,1:01:34,999994,2.10186,149.8859289,-30.2644629,295.487,1648.8359599999999,3.18653,-3.7812,19.166,1.00051,295.51,100,TRUE
72325,19/3/2024,1:01:35,999993,2.10185,149.8859387,-30.2644435,295.4232,1687.19453,4.05492,2.148,18.53504,8.00567,295.446,100,TRUE
72326,19/3/2024,1:01:36,999993,2.15746,149.8859492,-30.2644258,295.5601,1715.87166,2.92321,-1.56056,15.35485,3.00152,295.583,100,TRUE
72327,19/3/2024,1:01:37,999993,2.10183,149.8859583,-30.2644033,295.3417,1691.19737,3.7835,6.26997,7.37152,11.00779,295.365,100,TRUE
72328,19/3/2024,1:01:38,999994,2.10182,149.8859673,-30.2643813,295.1861,1687.20518,2.96165,-2.93545,19.09256,2.00262,295.209,100,TRUE
72329,19/3/2024,1:01:39,999993,2.10181,149.8859759,-30.2643585,294.9247,1699.01189,3.10056,3.25523,16.61565,9.00006,294.948,100,TRUE
72330,19/3/2024,1:01:40,999994,2.1018,149.8859845,-30.2643347,295.1236,1669.18011,3.81347,1.24415,13.27093,6.00425,295.146,100,TRUE
72331,19/3/2024,1:01:41,999993,2.10179,149.8859928,-30.2643116,295.1236,1717.38765,2.90348,3.1455,5.9202,7.00566,295.146,100,TRUE
72332,19/3/2024,1:01:42,999993,2.10178,149.886001,-30.2642891,295.0452,1690.53501,3.68723,1.45143,6.1026,5.00454,295.068,100,TRUE
72333,19/3/2024,1:01:43,999993,2.10176,149.8860099,-30.2642681,294.7482,1648.49684,3.74031,-0.65657,20.62716,5.00454,294.771,100,TRUE
72334,19/3/2024,1:01:44,999994,2.10175,149.8860188,-30.2642464,294.4698,1662.50789,3.78073,-2.93486,19.0839,2.00182,294.493,100,TRUE
72335,19/3/2024,1:01:45,999993,2.10174,149.8860273,-30.264227,294.411,1679.69313,3.56858,1.24497,13.27568,6.00605,294.434,100,TRUE
72336,19/3/2024,1:01:46,999993,2.10173,149.8860355,-30.2642069,294.3827,1592.28657,4.06341,0.24729,25.88947,7.00566,294.406,100,TRUE
72337,19/3/2024,1:01:47,999993,2.10172,149.8860441,-30.2641877,294.2808,1704.03605,3.448,-0.45014,13.45086,4.00243,294.304,100,TRUE
72338,19/3/2024,1:01:48,999994,2.1017,149.8860494,-30.2641688,294.2895,1662.00884,3.11188,2.9379,13.08784,8.00486,294.312,100,TRUE
72339,19/3/2024,1:01:49,999993,2.10169,149.8860575,-30.2641507,294.2142,1649.16761,4.03985,-1.18362,24.25294,5.00354,294.237,100,TRUE
72340,19/3/2024,1:01:50,999993,2.10168,149.8860653,-30.2641307,294.522,1678.18816,4.70651,0.07685,9.82205,4.00283,294.545,100,TRUE
72341,19/3/2024,1:01:51,999993,2.10166,149.8860718,-30.264111,294.6303,1649.66286,4.5936,-1.03356,11.7323,3.00303,294.653,100,TRUE
72342,19/3/2024,1:01:52,999994,2.10165,149.8860798,-30.2640908,294.7437,1746.71091,3.44844,2.61691,9.54613,7.00285,294.766,100,TRUE
72343,19/3/2024,1:01:53,999993,2.10163,149.8860878,-30.2640709,294.7103,1642.6558,3.25424,2.99644,18.45057,9.00908,294.733,100,TRUE
72344,19/3/2024,1:01:54,999993,2.10162,149.8860965,-30.2640517,294.6141,1734.05431,3.84079,3.25807,16.62716,9.00548,294.637,100,TRUE
72345,19/3/2024,1:01:55,999993,2.1016,149.8861048,-30.2640313,294.6576,1642.327,3.9502100000000002,0.71748,16.9033,6.00485,294.68,100,TRUE
72346,19/3/2024,1:01:56,999994,2.10159,149.8861138,-30.2640123,294.3429,1632.82784,2.62873,2.61732,9.54734,7.00355,294.366,100,TRUE
72347,19/3/2024,1:01:57,999993,2.10157,149.8861219,-30.2639933,294.3288,1693.55388,3.19127,0.77581,22.27606,7.01057,294.352,100,TRUE
72348,19/3/2024,1:01:58,999993,2.10156,149.8861304,-30.2639736,294.4961,1672.68245,3.23821,2.73039,20.25265,9.00367,294.519,100,TRUE
72349,19/3/2024,1:01:59,999993,2.10154,149.88613899999999,-30.2639539,294.3454,1608.13856,2.70211,2.93835,13.08942,8.00567,294.368,100,TRUE
72350,19/3/2024,1:02:00,999994,2.10152,149.8861466,-30.2639337,294.2582,1600.25155,3.40718,2.82784,2.38314,6.00845,294.281,100,TRUE
72351,19/3/2024,1:02:01,999993,2.10151,149.8861556,-30.2639143,294.1314,1587.23483,4.17592,-0.71296,15.28014,4.00564,294.154,100,TRUE
72352,19/3/2024,1:02:02,999993,2.10149,149.8861637,-30.2638959,294.1898,1683.1917,4.61403,-1.18362,24.25294,5.00354,294.213,100,TRUE
72353,19/3/2024,1:02:03,999993,2.10147,149.8861717,-30.2638762,293.9459,1667.01354,2.89819,4.04834,11.18208,9.00548,293.969,100,TRUE
72354,19/3/2024,1:02:04,999993,2.10145,149.8861787,-30.2638566,294.2617,1646.67184,3.2983,4.3673400000000004,14.71793,10.00408,294.284,100,TRUE
72355,19/3/2024,1:02:05,999993,2.10144,149.886187,-30.2638377,294.6239,1605.29708,3.0213,1.7713699999999999,9.64175,6.00485,294.647,100,TRUE
72356,19/3/2024,1:02:06,999994,2.10142,149.8861964,-30.2638186,294.5767,1662.50789,2.74313,2.14872,18.53923,8.00726,294.599,100,TRUE
